"species","status"
"Acianthera chrysantha","EN"
"Acianthera hondurensis","LC"
"Acianthera malachantha","EN"
"Acianthera saundersiana","LC"
"Aerangis gracillima","EXT"
"Aerangis hyaloides","EN"
"Aerangis macrocentra","EN"
"Aerangis monantha","CR"
"Aerangis pallidiflora","VU"
"Aerangis punctata","CR"
"Aerangis seegeri","VU"
"Aeranthes angustidens","CR"
"Aeranthes antennophora","EN"
"Aeranthes ecalcarata","EN"
"Aeranthes leandriana","CR"
"Aeranthes multinodis","CR"
"Aeranthes polyanthemus","EN"
"Aeranthes schlechteri","EN"
"Aeranthes setipes","EN"
"Aeranthes strangulata","EN"
"Aeranthes tropophila","EN"
"Agrostophyllum cyathiforme","LC"
"Agrostophyllum laterale","EN"
"Altensteinia longispicata","LC"
"Amitostigma capitatum","EN"
"Amitostigma hemipilioides","EN"
"Amitostigma simplex","EN"
"Amitostigma tetralobum","EN"
"Anacamptis boryi","LC"
"Anacamptis palustris","LC"
"Anacamptis sancta","LC"
"Anathallis minutalis","EN"
"Ancistrochilus thomsonianus","LC"
"Ancistrorhynchus crystalensis","EXT"
"Ancistrorhynchus laxiflorus","EN"
"Ancistrorhynchus parviflorus","LC"
"Ancistrorhynchus refractus","EN"
"Ancistrorhynchus serratus","EXT"
"Ancistrorhynchus tenuicaulis","EN"
"Angraecopsis cryptantha","EXT"
"Angraecopsis lisowskii","EXT"
"Angraecopsis parva","LC"
"Angraecopsis tenerrima","EN"
"Angraecopsis tridens","LC"
"Angraecum alleizettei","CR"
"Angraecum amplexicaule","EN"
"Angraecum angustum","EXT"
"Angraecum ankeranense","CR"
"Angraecum aporoides","LC"
"Angraecum atlanticum","EN"
"Angraecum bancoense","LC"
"Angraecum bicallosum","EN"
"Angraecum compactum","LC"
"Angraecum cornucopiae","EN"
"Angraecum coutrixii","CR"
"Angraecum cribbianum","EN"
"Angraecum curvipes","EXT"
"Angraecum danguyanum","EN"
"Angraecum dendrobiopsis","EN"
"Angraecum distichum","LC"
"Angraecum doratophyllum","EXT"
"Angraecum egertonii","EXT"
"Angraecum gabonense","LC"
"Angraecum humbertii","EN"
"Angraecum humblotianum","EN"
"Angraecum mahavavense","CR"
"Angraecum moratii","CR"
"Angraecum obesum","EN"
"Angraecum penzigianum","CR"
"Angraecum perhumile","CR"
"Angraecum peyrotii","EN"
"Angraecum pinifolium","CR"
"Angraecum podochiloides","LC"
"Angraecum potamophilum","LC"
"Angraecum protensum","EN"
"Angraecum pseudodidieri","EN"
"Angraecum pseudofilicornu","EN"
"Angraecum pungens","LC"
"Angraecum pyriforme","LC"
"Angraecum rigidifolium","CR"
"Angraecum rubellum","CR"
"Angraecum sambiranoense","EN"
"Angraecum sanfordii","EXT"
"Angraecum serpens","CR"
"Angraecum setipes","CR"
"Angraecum sterrophyllum","CR"
"Angraecum subulatum","LC"
"Angraecum triangulifolium","EN"
"Anguloa cliftonii","LC"
"Anoectochilus sandvicensis","VU"
"Anoectochilus zhejiangensis","EN"
"Ansellia africana","LC"
"Appendicula calcarata","LC"
"Appendicula longirostrata","LC"
"Appendicula tenuispica","LC"
"Arethusa bulbosa","LC"
