"species","status"
"Acianthera chrysantha","CR"
"Acianthera hondurensis","LC"
"Acianthera malachantha","VU"
"Acianthera saundersiana","LC"
"Aerangis gracillima","LC"
"Aerangis hyaloides","EN"
"Aerangis macrocentra","EN"
"Aerangis monantha","EN"
"Aerangis pallidiflora","VU"
"Aerangis punctata","EN"
"Aerangis seegeri","VU"
"Aeranthes angustidens","VU"
"Aeranthes antennophora","EN"
"Aeranthes ecalcarata","LC"
"Aeranthes leandriana","CR"
"Aeranthes multinodis","CR"
"Aeranthes polyanthemus","EN"
"Aeranthes schlechteri","VU"
"Aeranthes setipes","EN"
"Aeranthes strangulata","VU"
"Aeranthes tropophila","EN"
"Agrostophyllum cyathiforme","LC"
"Agrostophyllum laterale","LC"
"Altensteinia longispicata","VU"
"Amitostigma capitatum","EN"
"Amitostigma hemipilioides","EN"
"Amitostigma simplex","EN"
"Amitostigma tetralobum","EN"
"Anacamptis boryi","VU"
"Anacamptis palustris","LC"
"Anacamptis sancta","LC"
"Anathallis minutalis","LC"
"Ancistrochilus thomsonianus","LC"
"Ancistrorhynchus crystalensis","EN"
"Ancistrorhynchus laxiflorus","EN"
"Ancistrorhynchus parviflorus","LC"
"Ancistrorhynchus refractus","EN"
"Ancistrorhynchus serratus","NT"
"Ancistrorhynchus tenuicaulis","VU"
"Angraecopsis cryptantha","VU"
"Angraecopsis lisowskii","EN"
"Angraecopsis parva","LC"
"Angraecopsis tenerrima","EN"
"Angraecopsis tridens","NT"
"Angraecum alleizettei","EN"
"Angraecum amplexicaule","EN"
"Angraecum angustum","EN"
"Angraecum ankeranense","EN"
"Angraecum aporoides","LC"
"Angraecum atlanticum","EN"
"Angraecum bancoense","LC"
"Angraecum bicallosum","EN"
"Angraecum compactum","LC"
"Angraecum cornucopiae","EN"
"Angraecum coutrixii","EN"
"Angraecum cribbianum","CR"
"Angraecum curvipes","EN"
"Angraecum danguyanum","VU"
"Angraecum dendrobiopsis","VU"
"Angraecum distichum","LC"
"Angraecum doratophyllum","EN"
"Angraecum egertonii","VU"
"Angraecum gabonense","LC"
"Angraecum humbertii","EN"
"Angraecum humblotianum","EN"
"Angraecum mahavavense","EN"
"Angraecum moratii","EN"
"Angraecum obesum","EN"
"Angraecum penzigianum","EN"
"Angraecum perhumile","CR"
"Angraecum peyrotii","CR"
"Angraecum pinifolium","EN"
"Angraecum podochiloides","LC"
"Angraecum potamophilum","CR"
"Angraecum protensum","EN"
"Angraecum pseudodidieri","EN"
"Angraecum pseudofilicornu","VU"
"Angraecum pungens","VU"
"Angraecum pyriforme","VU"
"Angraecum rigidifolium","CR"
"Angraecum rubellum","EN"
"Angraecum sambiranoense","EN"
"Angraecum sanfordii","EN"
"Angraecum serpens","CR"
"Angraecum setipes","EN"
"Angraecum sterrophyllum","CR"
"Angraecum subulatum","LC"
"Angraecum triangulifolium","EN"
"Anguloa cliftonii","CR"
"Anoectochilus sandvicensis","VU"
"Anoectochilus zhejiangensis","EN"
"Ansellia africana","VU"
"Appendicula calcarata","LC"
"Appendicula longirostrata","LC"
"Appendicula tenuispica","LC"
"Arethusa bulbosa","LC"
"Barbosella geminata","LC"
"Barkeria naevosa","LC"
"Bartholina etheliae","VU"
"Basiphyllaea corallicola","LC"
"Benthamia calceolata","EN"
"Benthamia elata","EN"
"Benthamia glaberrima","EN"
"Benthamia humbertii","EN"
"Benthamia monophylla","NT"
"Benthamia nigrescens","EN"
"Benthamia nivea","EN"
"Benthamia perularioides","VU"
"Benthamia praecox","EN"
"Benthamia procera","EN"
"Benthamia rostrata","EN"
