"species","status"
"Acianthera chrysantha","EN"
"Acianthera hondurensis","LC"
"Acianthera malachantha","EN"
"Acianthera saundersiana","LC"
"Aerangis gracillima","EXT"
"Aerangis hyaloides","EN"
"Aerangis macrocentra","EN"
"Aerangis monantha","CR"
"Aerangis pallidiflora","VU"
"Aerangis punctata","EN"
"Aerangis seegeri","VU"
"Aeranthes angustidens","EN"
"Aeranthes antennophora","EN"
"Aeranthes ecalcarata","EN"
"Aeranthes leandriana","EN"
"Aeranthes multinodis","CR"
"Aeranthes polyanthemus","EN"
"Aeranthes schlechteri","VU"
"Aeranthes setipes","EN"
"Aeranthes strangulata","EN"
"Aeranthes tropophila","EN"
"Agrostophyllum cyathiforme","LC"
"Agrostophyllum laterale","LC"
"Altensteinia longispicata","LC"
"Amitostigma capitatum","EN"
"Amitostigma hemipilioides","EN"
"Amitostigma simplex","EN"
"Amitostigma tetralobum","VU"
"Anacamptis boryi","VU"
"Anacamptis palustris","LC"
"Anacamptis sancta","LC"
"Anathallis minutalis","EN"
"Ancistrochilus thomsonianus","LC"
"Ancistrorhynchus crystalensis","EXT"
"Ancistrorhynchus laxiflorus","EN"
"Ancistrorhynchus parviflorus","LC"
"Ancistrorhynchus refractus","EN"
"Ancistrorhynchus serratus","EXT"
"Ancistrorhynchus tenuicaulis","EN"
"Angraecopsis cryptantha","EXT"
"Angraecopsis lisowskii","EXT"
"Angraecopsis parva","EN"
"Angraecopsis tenerrima","EN"
"Angraecopsis tridens","LC"
"Angraecum alleizettei","EN"
"Angraecum amplexicaule","EN"
"Angraecum angustum","EXT"
"Angraecum ankeranense","CR"
"Angraecum aporoides","LC"
"Angraecum atlanticum","EN"
"Angraecum bancoense","LC"
"Angraecum bicallosum","EN"
"Angraecum compactum","LC"
"Angraecum cornucopiae","EN"
"Angraecum coutrixii","CR"
"Angraecum cribbianum","EN"
"Angraecum curvipes","EXT"
"Angraecum danguyanum","VU"
"Angraecum dendrobiopsis","EN"
"Angraecum distichum","LC"
"Angraecum doratophyllum","EXT"
"Angraecum egertonii","EXT"
"Angraecum gabonense","LC"
"Angraecum humbertii","EN"
"Angraecum humblotianum","EN"
"Angraecum mahavavense","EN"
"Angraecum moratii","EN"
"Angraecum obesum","EN"
"Angraecum penzigianum","EN"
"Angraecum perhumile","EN"
"Angraecum peyrotii","CR"
"Angraecum pinifolium","EN"
"Angraecum podochiloides","LC"
"Angraecum potamophilum","EN"
"Angraecum protensum","EN"
"Angraecum pseudodidieri","EN"
"Angraecum pseudofilicornu","VU"
"Angraecum pungens","LC"
"Angraecum pyriforme","LC"
"Angraecum rigidifolium","CR"
"Angraecum rubellum","CR"
"Angraecum sambiranoense","EN"
"Angraecum sanfordii","EXT"
"Angraecum serpens","CR"
"Angraecum setipes","EN"
"Angraecum sterrophyllum","EN"
"Angraecum subulatum","LC"
"Angraecum triangulifolium","EN"
"Anguloa cliftonii","EN"
"Anoectochilus sandvicensis","VU"
"Anoectochilus zhejiangensis","EN"
"Ansellia africana","LC"
"Appendicula calcarata","LC"
"Appendicula longirostrata","LC"
"Appendicula tenuispica","LC"
"Arethusa bulbosa","LC"
