"species","status"
"Acianthera chrysantha","LC"
"Acianthera hondurensis","LC"
"Acianthera malachantha","LC"
"Acianthera saundersiana","LC"
"Aerangis gracillima","LC"
"Aerangis hyaloides","LC"
"Aerangis macrocentra","EN"
"Aerangis monantha","EN"
"Aerangis pallidiflora","EN"
"Aerangis punctata","EN"
"Aerangis seegeri","VU"
"Aeranthes angustidens","VU"
"Aeranthes antennophora","EN"
"Aeranthes ecalcarata","VU"
"Aeranthes leandriana","EN"
"Aeranthes multinodis","CR"
"Aeranthes polyanthemus","EN"
"Aeranthes schlechteri","LC"
"Aeranthes setipes","LC"
"Aeranthes strangulata","EN"
"Aeranthes tropophila","EN"
"Agrostophyllum cyathiforme","LC"
"Agrostophyllum laterale","LC"
"Altensteinia longispicata","VU"
"Amitostigma capitatum","LC"
"Amitostigma hemipilioides","LC"
"Amitostigma simplex","EN"
"Amitostigma tetralobum","EN"
"Anacamptis boryi","LC"
"Anacamptis palustris","LC"
"Anacamptis sancta","NT"
"Anathallis minutalis","LC"
"Ancistrochilus thomsonianus","EN"
"Ancistrorhynchus crystalensis","EN"
"Ancistrorhynchus laxiflorus","EN"
"Ancistrorhynchus parviflorus","LC"
"Ancistrorhynchus refractus","EN"
"Ancistrorhynchus serratus","LC"
"Ancistrorhynchus tenuicaulis","LC"
"Angraecopsis cryptantha","VU"
"Angraecopsis lisowskii","EN"
"Angraecopsis parva","EN"
"Angraecopsis tenerrima","EN"
"Angraecopsis tridens","NT"
"Angraecum alleizettei","EN"
"Angraecum amplexicaule","EN"
"Angraecum angustum","EN"
"Angraecum ankeranense","EN"
"Angraecum aporoides","LC"
"Angraecum atlanticum","NT"
"Angraecum bancoense","LC"
"Angraecum bicallosum","EN"
"Angraecum compactum","VU"
"Angraecum cornucopiae","EN"
"Angraecum coutrixii","EN"
"Angraecum cribbianum","CR"
"Angraecum curvipes","EN"
"Angraecum danguyanum","VU"
"Angraecum dendrobiopsis","VU"
"Angraecum distichum","LC"
"Angraecum doratophyllum","LC"
"Angraecum egertonii","VU"
"Angraecum gabonense","LC"
"Angraecum humbertii","EN"
"Angraecum humblotianum","EN"
"Angraecum mahavavense","CR"
"Angraecum moratii","LC"
"Angraecum obesum","EN"
"Angraecum penzigianum","EN"
"Angraecum perhumile","CR"
"Angraecum peyrotii","CR"
"Angraecum pinifolium","EN"
"Angraecum podochiloides","LC"
"Angraecum potamophilum","CR"
"Angraecum protensum","LC"
"Angraecum pseudodidieri","EN"
"Angraecum pseudofilicornu","VU"
"Angraecum pungens","LC"
"Angraecum pyriforme","LC"
"Angraecum rigidifolium","CR"
"Angraecum rubellum","CR"
"Angraecum sambiranoense","EN"
"Angraecum sanfordii","LC"
"Angraecum serpens","CR"
"Angraecum setipes","VU"
"Angraecum sterrophyllum","EN"
"Angraecum subulatum","LC"
"Angraecum triangulifolium","EN"
"Anguloa cliftonii","LC"
"Anoectochilus sandvicensis","LC"
"Anoectochilus zhejiangensis","EN"
"Ansellia africana","VU"
"Appendicula calcarata","LC"
"Appendicula longirostrata","LC"
"Appendicula tenuispica","LC"
"Arethusa bulbosa","LC"
"Barbosella geminata","LC"
"Barkeria naevosa","LC"
"Bartholina etheliae","LC"
"Basiphyllaea corallicola","LC"
"Benthamia calceolata","EN"
"Benthamia elata","EN"
"Benthamia glaberrima","EN"
"Benthamia humbertii","EN"
"Benthamia monophylla","EN"
"Benthamia nigrescens","EN"
"Benthamia nivea","EN"
"Benthamia perularioides","EN"
"Benthamia praecox","EN"
"Benthamia procera","CR"
"Benthamia rostrata","EN"
"Bletia ensifolia","LC"
"Brachionidium dressleri","EN"
"Brachionidium pteroglossum","CR"
"Brachycorythis disoides","EN"
"Brassia lanceana","LC"
"Brassia maculata","LC"
"Brassia verrucosa","LC"
"Brassia wageneri","LC"
"Bromheadia finlaysoniana","LC"
"Broughtonia negrilensis","EN"
"Bryobium eriaeoides","LC"
"Bulbophyllum aggregatum","VU"
"Bulbophyllum alveatum","LC"
"Bulbophyllum analamazoatrae","VU"
"Bulbophyllum anjozorobeense","EN"
"Bulbophyllum ankylochele","LC"
"Bulbophyllum ankylorhinon","LC"
"Bulbophyllum antennatum","LC"
"Bulbophyllum atrosanguineum","EN"
"Bulbophyllum auriflorum","VU"
"Bulbophyllum ballii","LC"
"Bulbophyllum baronii","EN"
"Bulbophyllum betchei","LC"
"Bulbophyllum bicoloratum","LC"
"Bulbophyllum bifarium","NT"
"Bulbophyllum bigibbum","LC"
"Bulbophyllum bliteum","LC"
"Bulbophyllum brachypetalum","LC"
"Bulbophyllum brassii","LC"
"Bulbophyllum breviflorum","LC"
"Bulbophyllum bryophilum","EN"
"Bulbophyllum callichroma","LC"
"Bulbophyllum callosum","EN"
"Bulbophyllum calviventer","LC"
"Bulbophyllum calvum","LC"
"Bulbophyllum calyptropus","CR"
"Bulbophyllum cardiobulbum","EN"
"Bulbophyllum cateorum","LC"
"Bulbophyllum cauliflorum","LC"
"Bulbophyllum ceriodorum","CR"
"Bulbophyllum colliferum","LC"
"Bulbophyllum concatenatum","EN"
"Bulbophyllum cruttwellii","LC"
"Bulbophyllum cycloglossum","LC"
"Bulbophyllum debile","VU"
"Bulbophyllum dekockii","LC"
"Bulbophyllum delitescens","EN"
"Bulbophyllum dendrochiloides","LC"
"Bulbophyllum desmotrichoides","LC"
"Bulbophyllum discolor","LC"
"Bulbophyllum encephalodes","LC"
"Bulbophyllum erinaceum","LC"
"Bulbophyllum erythroglossum","EN"
"Bulbophyllum fayi","LC"
"Bulbophyllum fonsflorum","LC"
"Bulbophyllum fractiflexum","LC"
"Bulbophyllum grammopoma","LC"
"Bulbophyllum gravidum","VU"
"Bulbophyllum gyaloglossum","LC"
"Bulbophyllum hamelinii","VU"
"Bulbophyllum hirsutiusculum","EN"
"Bulbophyllum hirudiniferum","VU"
"Bulbophyllum horizontale","EN"
"Bulbophyllum imitator","LC"
"Bulbophyllum ischnopus","LC"
"Bulbophyllum jaapii","LC"
"Bulbophyllum jumelleanum","LC"
